order_id,product_id,product_category,price,discount_percent,quantity_sold,customer_region,payment_method,rating,review_count,discounted_price,total_revenue,profit
1,2637,Books,128.75,10,4,North America,UPI,3.5,443,115.88,463.52,23.176
2,2300,Fashion,302.6,20,5,Asia,Credit Card,3.7,475,242.08,1210.4,60.52
3,3670,Sports,495.8,20,2,Europe,UPI,4.4,183,396.64,793.28,39.664
4,2522,Books,371.95,15,4,Middle East,UPI,5,212,316.16,1264.64,63.232
5,1717,Beauty,201.68,0,4,Middle East,UPI,4.6,308,201.68,806.72,40.336
6,1777,Sports,385.17,30,3,Asia,Wallet,3.8,489,269.62,808.86,40.443
7,4068,Books,15.78,0,5,Asia,UPI,1.6,415,15.78,78.9,3.945
8,3537,Fashion,111.59,30,4,Middle East,UPI,3.4,143,78.11,312.44,15.622
9,3262,Books,373.62,0,4,Asia,Wallet,2.8,497,373.62,1494.48,74.724
10,4174,Sports,134.81,15,2,Middle East,Cash on Delivery,2,25,114.59,229.18,11.459
11,4878,Electronics,67.43,20,4,Europe,Debit Card,4.3,426,53.94,215.76,10.788
12,3637,Books,150.19,0,1,North America,Cash on Delivery,4.4,279,150.19,150.19,7.5095
13,3222,Electronics,89.81,0,3,Europe,UPI,3.6,151,89.81,269.43,13.4715
14,4925,Home & Kitchen,213.22,0,3,Europe,Credit Card,1.4,239,213.22,639.66,31.983
15,1051,Beauty,66.65,10,2,North America,Debit Card,4.6,262,59.99,119.98,5.999
16,3344,Electronics,419.66,0,3,Middle East,Credit Card,2.7,46,419.66,1258.98,62.949
17,3011,Sports,391.09,5,3,Middle East,Credit Card,3.7,51,371.54,1114.62,55.731
18,3222,Home & Kitchen,156.95,30,3,Middle East,Cash on Delivery,2.9,354,109.86,329.58,16.479
19,1968,Home & Kitchen,262.36,10,1,Asia,Wallet,4.6,473,236.12,236.12,11.806
20,3390,Fashion,428.24,30,3,Middle East,Wallet,1.2,331,299.77,899.31,44.9655
21,2734,Home & Kitchen,464.87,10,3,North America,Wallet,3.8,490,418.38,1255.14,62.757
